127.0.0.1 - - [12/Jul/2017:08:23:21 -0600] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:23:23 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:23:23 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:41:24 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:41:24 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:41:28 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:41:28 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:41:29 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:41:29 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:18 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:18 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:19 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:19 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:20 -0600] "GET /PresidentsProject/ HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:20 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:26 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:26 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:27 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:28 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:29 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:30 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:30 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:34 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:34 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:35 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:35 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:37 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:37 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:38 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:38 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:39 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:40 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:42:40 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:31 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:31 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:32 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:32 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:35 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:35 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:38 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:38 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:39 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:39 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:41 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:41 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:42 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:42 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:43 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:43 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:44 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:44 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:44 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:45 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:45 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:45 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:46 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:47 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:47 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:47 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:48 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:49 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:49 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:43 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:43 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:48 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:48 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:49 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:49 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:50 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:50 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jul/2017:08:45:26 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jul/2017:08:45:26 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:45:52 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:45:52 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:46:04 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:46:05 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:13 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:13 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:47 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
